county,fips,county_fips,boe_total_av_millions,residential_fraction,boe_residential_av_millions,zillow_median_value,owner_occupied_units,median_income,census_median_value,census_aggregate_value,census_aggregate_taxes,market_value_millions,residential_av_millions,assessment_ratio,tax_gap_annual_millions,tax_gap_per_household,tax_gap_pct_market
Los Angeles,06037,037,1797000,0.68,1221960.0,878850.9529658627,1552164,83411,732200,1513786909400,10148183200,1513786.9094,922562.1090909091,0.6094398778072226,6503.472803399999,4189.939209645372,39.05601221927773
Madera,06039,039,17000,0.65,11050.0,418569.3834319144,28719,73543,340300,12156890200,85124400,12156.8902,7738.581818181819,0.6365593248659775,48.60139219999999,1692.3079564051673,36.344067513402244
Marin,06041,041,87000,0.8,69600.0,1429486.1914992228,66444,142019,1291800,110994727100,828030700,110994.7271,75275.51818181819,0.6781900379285511,392.91129809999995,5913.420295286255,32.18099620714489
Mariposa,06043,043,5000,0.85,4250.0,386844.4670115555,5604,60021,335900,2340095700,14488000,2340.0957,1317.0909090909092,0.5628363442960513,11.253052699999996,2008.0393825838678,43.71636557039486
Mendocino,06045,045,18000,0.78,14040.0,496618.8091822372,21044,61335,463700,12183654300,74929200,12183.6543,6811.745454545455,0.5590888650333303,59.0909973,2807.9736409427865,44.091113496666964
Merced,06047,047,28000,0.65,18200.0,412987.536544895,44156,64772,342300,17614186300,117287800,17614.1863,10662.527272727273,0.6053374871325888,76.46824930000001,1731.7748278829606,39.46625128674112
Modoc,06049,049,2000,0.65,1300.0,183426.8547856639,2557,54962,184900,738827700,4721200,738.8277,429.2,0.580920287639459,3.4059047000000007,1331.992452092296,41.907971236054095
Mono,06051,051,8000,0.75,6000.0,749080.0976987613,3743,82038,496800,2157145700,16175800,2157.1457,1470.5272727272727,0.6817004863080286,7.5528027,2017.8473684210526,31.82995136919714
Monterey,06053,053,67000,0.72,48240.0,833014.3451540633,68359,91043,683700,60859563700,382481600,60859.5637,34771.05454545454,0.5713326292783552,286.9736007,4198.03684518498,42.86673707216448
Napa,06055,055,44000,0.78,34320.0,886117.0162349028,32076,105809,794500,33116630300,204353200,33116.6303,18577.563636363637,0.5609738511458287,159.92973329999995,4985.962504676392,43.90261488541714
Nevada,06057,057,26000,0.82,21320.0,598357.2318859486,31000,79395,559700,19401636400,141522000,19401.6364,12865.636363636364,0.6631211975313775,71.89600039999999,2319.225819354838,33.68788024686224
Orange,06059,059,719000,0.72,517680.0,1169742.5563362828,602959,109361,862900,632197529700,4234082000,632197.5297,384916.54545454547,0.6088548710989142,2720.090826699999,4511.23679503913,39.11451289010858
